V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
4 Liu et al,"Mergner et al., 2020 , Organism part , first node, adult","Mergner et al., 2020 , Organism part , not applicable, adult","Mergner et al., 2020 , Organism part , not applicable, callus","Mergner et al., 2020 , Organism part , not applicable, cell culture","Mergner et al., 2020 , Organism part , not applicable, dry seed stage","Mergner et al., 2020 , Organism part , not applicable, embryo stage 10","Mergner et al., 2020 , Organism part , not applicable, embryo stage 6","Mergner et al., 2020 , Organism part , not applicable, embryo stage 7","Mergner et al., 2020 , Organism part , not applicable, embryo stage 8","Mergner et al., 2020 , Organism part , not applicable, embryo stage 9","Mergner et al., 2020 , Organism part , not applicable, flower stage 10","Mergner et al., 2020 , Organism part , not applicable, flower stage 11","Mergner et al., 2020 , Organism part , not applicable, flower stage 12","Mergner et al., 2020 , Organism part , not applicable, flower stage 13","Mergner et al., 2020 , Organism part , not applicable, flower stage 15","Mergner et al., 2020 , Organism part , not applicable, flower stage 9","Mergner et al., 2020 , Organism part , not applicable, seed imbibition stage","Mergner et al., 2020 , Organism part , not applicable, seedling","Mergner et al., 2020 , Organism part , not applicable, silique stage 1","Mergner et al., 2020 , Organism part , not applicable, silique stage 2","Mergner et al., 2020 , Organism part , not applicable, silique stage 3","Mergner et al., 2020 , Organism part , not applicable, silique stage 4","Mergner et al., 2020 , Organism part , not applicable, silique stage 5","Mergner et al., 2020 , Organism part , rosette leaf 1, adult","Mergner et al., 2020 , Organism part , rosette leaf 10, adult","Mergner et al., 2020 , Organism part , rosette leaf 11, adult","Mergner et al., 2020 , Organism part , rosette leaf 12, adult","Mergner et al., 2020 , Organism part , rosette leaf 2, adult","Mergner et al., 2020 , Organism part , rosette leaf 3, adult","Mergner et al., 2020 , Organism part , rosette leaf 4, adult","Mergner et al., 2020 , Organism part , rosette leaf 5, adult","Mergner et al., 2020 , Organism part , rosette leaf 6, adult","Mergner et al., 2020 , Organism part , rosette leaf 7 distal part, adult","Mergner et al., 2020 , Organism part , rosette leaf 7 petiole, adult","Mergner et al., 2020 , Organism part , rosette leaf 7 proximal part, adult","Mergner et al., 2020 , Organism part , rosette leaf 7, adult","Mergner et al., 2020 , Organism part , rosette leaf 8, adult","Mergner et al., 2020 , Organism part , rosette leaf 9, adult","Mergner et al., 2020 , Organism part , second internode, adult","Mergner et al., 2020 , Organism part , upper zone, seedling","Pig0tta et al., 2014 , Organism part , Col-0 x Col-0","Pig0tta et al., 2014 , Organism part , Col-0 x Ler","Pig0tta et al., 2014 , Organism part , Col-0 x Cvi","Pig0tta et al., 2014 , Organism part , Cvi x Col-0","Pig0tta et al., 2014 , Organism part , Cvi x Cvi","Pig0tta et al., 2014 , Organism part , Cvi x Ler","Pig0tta et al., 2014 , Organism part , Ler x Col-0","Pig0tta et al., 2014 , Organism part , Ler x Cvi","Pig0tta et al., 2014 , Organism part , Ler x Ler"
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,69, 0, 0, 0, 0, 0, 0, 0, 0, 0
47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,67,66,58,76,73,74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,25, 0,28,29,27,28, 0,29,23
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,24,17,24,41,32,17,17,18,22
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0,59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0,59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0,54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0,51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
